Year,Month,Tin,Tout
1904,11,-0.92339312,1.2474452
1904,12,-0.3184718,0.064911295
1905,1,-2.2331218,-0.99480672
1905,2,-4.8369052,-3.4314139
1905,3,2.518581,1.8383506
1905,4,0.11641714,-0.43724023
1905,5,1.5237173,-1.1331993
1905,6,1.0280966,-0.78303694
1905,7,-0.72705663,-1.0067234
1905,8,0.14940479,0.20336742
1905,9,1.0452909,0.7786235
1905,10,-0.03055871,-1.6490551
1905,11,0.30514961,0.24247138
1905,12,-1.1032176,-0.44675534
1906,1,2.7570717,1.6987314
1906,2,-0.66201999,0.015947729
1906,3,-3.345717,-2.9645852
1906,4,1.1084953,0.86930545
1906,5,0.17080933,-0.60807388
1906,6,0.4493483,-1.079679
1906,7,-0.97687507,-0.57070538
1906,8,0.6464363,-0.38554224
1906,9,1.9824089,0.70226147
1906,10,-1.0800691,-0.67661488
1906,11,-0.3232156,-0.89306607
1906,12,1.6486591,1.3576629
1907,1,5.6368829,-0.73129966
1907,2,0.58508507,0.88993105
1907,3,4.8372112,1.3434459
1907,4,-3.4511394,-1.6895983
1907,5,-1.755435,-2.6018016
1907,6,-1.0609774,-1.7398359
1907,7,0.43709623,-0.90045655
1907,8,0.37929775,-1.0104035
1907,9,0.47487306,-0.30520176
1907,10,-0.63212136,0.16226499
1907,11,-1.6486505,-0.1796501
1907,12,0.57632639,1.6172915
1908,1,1.2555356,1.9431957
1908,2,-0.52728418,-0.39287143
1908,3,3.4856632,0.4914037
1908,4,1.5527754,0.72969479
1908,5,0.73098802,-1.2970767
1908,6,0.055423724,-1.2592117
1908,7,-0.2101184,-0.32987839
1908,8,0.074723731,-1.0165811
1908,9,0.45752482,0.49082906
1908,10,-1.0605153,-1.3028582
1908,11,0.87163479,0.27525646
1908,12,2.0041853,0.35558752
1909,1,3.3737036,0.9501957
1909,2,2.4565725,0.11365867
1909,3,-0.060782635,-0.82282749
1909,4,-0.11166492,-1.6396378
1909,5,-0.81486208,-1.3695053
1909,6,0.5791771,-0.010887642
1909,7,-0.34120475,-0.68447571
1909,8,0.91352364,0.306478
1909,9,-0.051356767,-0.025578623
1909,10,-0.59415643,-0.54555226
1909,11,3.3916921,1.1579724
1909,12,-3.4593173,-3.7062263
1910,1,1.4141686,-0.029834003
1910,2,-1.5245735,-2.8505991
1910,3,4.0595898,4.3016073
1910,4,-0.3755481,1.8234041
1910,5,-1.4047768,-0.38833105
1910,6,-1.2508793,0.10332246
1910,7,-0.36693884,0.29136062
1910,8,-0.14637659,-0.75669577
1910,9,1.3399586,0.35700722
1910,10,1.3502272,0.79394667
1910,11,-1.8015554,-0.12695347
1910,12,-1.9977825,0.29539886
