Year,Month,Tin,Tout
1926,10,1.1462857,0.18445122
1926,11,-2.1817142,-0.33670731
1926,12,0.55257142,-1.3664634
1927,1,1.5222857,0.97658534
1927,2,4.7177142,1.6356707
1927,3,0.99914283,0.78884145
1927,4,1.4914285,-0.0087804876
1927,5,0.71742856,-0.52469511
1927,6,-0.6402857,-0.7989634
1927,7,-0.38628571,-0.56859755
1927,8,-1.5831428,-1.4745731
1927,9,1.3051428,-0.10079268
1927,10,1.6774285,0.7917073
1927,11,2.7028571,1.1606097
1927,12,-1.0511428,-3.0330487
1928,1,0.79142855,1.4826219
1928,2,0.47999999,0.19945122
1928,3,0.59342856,1.3830487
1928,4,-2.4142857,-1.4637195
1928,5,-0.50285713,1.0096951
1928,6,-1.5148571,-1.4810366
1928,7,-0.0074285713,-0.16585365
1928,8,0.67057141,-0.22225609
1928,9,-1.4511428,-0.69042681
1928,10,1.9702857,0.1277439
1928,11,-0.30857142,0.004207317
1928,12,0.19085714,-0.10347561
1929,1,0.42342856,-2.4454268
1929,2,-2.8702857,-4.0860365
1929,3,2.5765714,1.2982317
1929,4,1.3774285,-0.20207317
1929,5,-0.60057142,-0.7642073
1929,6,-0.5322857,-0.61329267
1929,7,-0.10571428,0.024999999
1929,8,-0.075142855,0.44963414
1929,9,-0.14371428,-0.87609754
1929,10,-0.35971428,-0.13018292
1929,11,-1.556,-1.9393902
1929,12,-0.13828571,0.59024389
1930,1,-1.3742857,-3.7845731
1930,2,4.1737142,3.2504268
1930,3,-1.0714285,0.015670731
1930,4,1.1811428,2.0166463
1930,5,0.41199999,-0.70030486
1930,6,-0.31599999,0.034939024
1930,7,1.684,0.58689023
1930,8,0.5002857,0.52249999
1930,9,1.2677143,0.39378048
1930,10,-1.1385714,-1.3956097
1930,11,-0.17457142,-0.28079268
1930,12,-1.5722857,-0.88932925
1931,1,1.2862857,2.0793902
1931,2,2.082,2.3152439
1931,3,-2.6251428,-0.24817073
1931,4,-1.2368571,0.41713414
1931,5,-1.7365714,-0.072134145
1931,6,1.1545714,1.2756707
1931,7,1.0185714,1.2809756
1931,8,-0.8142857,0.24768292
1931,9,2.7351428,1.6865853
1931,10,2.2885714,1.1096951
1931,11,3.7534285,0.36030487
1931,12,3.9968571,0.48359755
1932,1,4.3974285,0.38420731
1932,2,4.980857,0.76414632
1932,3,-2.2782857,-1.8200609
1932,4,0.36342856,0.30079268
1932,5,-0.080571427,0.30579268
1932,6,0.96371426,0.33914633
1932,7,1.1837143,0.048048779
1932,8,0.65714284,0.30006097
1932,9,-0.052571427,0.049817072
1932,10,-0.66542856,-1.0659146
1932,11,-2.2814285,-0.10628049
1932,12,-0.23371428,-2.4309146
1933,1,4.9574285,2.2306097
1933,2,-0.11342857,-2.8471951
1933,3,0.36857142,0.5989634
1933,4,-0.54857142,-0.58932926
1933,5,1.856,-0.66567072
1933,6,1.2368571,1.887378
1933,7,0.18485714,0.99603656
1933,8,-0.095142855,-0.015487805
1933,9,2.7294285,1.377439
1933,10,0.36799999,0.59201218
1933,11,0.30399999,0.43701219
1933,12,3.7045713,1.39
1934,1,2.8202857,3.1215243
1934,2,-1.7397142,0.55152438
1934,3,-1.0362857,1.582439
1934,4,0.16171428,1.8321341
1934,5,0.78857141,2.9345121
1934,6,2.1934285,1.0446951
1934,7,2.1328571,1.4326219
1934,8,1.4294285,0.73939023
1934,9,-0.39514285,-0.49420731
1934,10,1.6542857,1.1760366
1934,11,1.7397142,1.862378
1934,12,-0.82257141,-0.16768292
1935,1,1.8808571,0.85158535
1935,2,1.0994285,1.2386585
1935,3,3.7937142,1.0593902
1935,4,-0.7622857,-0.7137195
1935,5,-0.71885713,-1.8006707
1935,6,-0.92657141,-0.38701219
1935,7,0.85285712,0.89896339
1935,8,0.97457141,0.48878048
1935,9,-0.28285714,0.16536585
1935,10,0.88342855,-0.52810974
1935,11,-0.090285712,-1.4514634
1935,12,-3.3651428,-0.84725608
1936,1,-1.6077142,-1.1601219
1936,2,-3.3517142,-5.1559755
1936,3,2.4685714,1.2390853
1936,4,-1.5091428,-0.18914634
1936,5,1.2768571,1.9729268
1936,6,1.5057143,1.0452439
1936,7,1.7522857,1.8112804
1936,8,2.2497142,1.3257317
1936,9,2.3034285,0.58512194
1936,10,0.25114285,-0.53774389
1936,11,-1.44,-0.9901829
1936,12,1.3225714,0.67512194
1937,1,3.6605713,-4.0233536
1937,2,-0.031142856,-1.4246341
1937,3,-1.772,-0.88158535
1937,4,-0.61057141,-0.46463414
1937,5,0.58457142,1.0704878
1937,6,0.88971427,-0.021280487
1937,7,-0.16914285,0.69713413
1937,8,1.2037143,1.6068902
1937,9,-0.46857142,0.77359754
1937,10,-0.95314284,-0.027865853
1937,11,-1.8742857,-0.15286585
1937,12,-0.93914284,-0.05109756
1938,1,1.3517143,1.3717073
1938,2,3.8488571,0.61701218
1938,3,4.3711428,1.8990243
1938,4,0.14685714,0.53865852
1938,5,0.44342856,-0.31506097
1938,6,-0.45542856,0.30841463
1938,7,0.24171428,0.090487803
1938,8,1.4497143,0.93542681
1938,9,0.58685713,1.1667683
1938,10,1.6508571,1.1986585
1938,11,0.45571428,-1.2637195
1938,12,0.0094285712,0.79353657
1939,1,3.2628571,2.2489634
1939,2,1.2194285,-2.8985975
1939,3,1.8482857,0.72939023
1939,4,-1.2517143,0.63457316
1939,5,0.40228571,1.6756097
1939,6,0.90999998,0.056341462
1939,7,0.55085713,0.73536584
1939,8,-0.063999999,0.53530487
1939,9,2.5097142,1.2757317
1939,10,1.5668571,0.014878048
1939,11,-1.2562857,0.76628047
1939,12,1.3085714,2.904756
1940,1,-6.7111427,-2.3140243
1940,2,-0.94257141,0.26969512
1940,3,-0.35799999,0.53420731
1940,4,-1.1551428,-0.22006097
1940,5,-1.2982857,0.75719511
1940,6,-0.14514285,0.81451218
1940,7,-0.59657142,0.55542682
1940,8,-0.176,0.20676829
1940,9,-0.94742855,0.68585364
1940,10,1.3082857,1.0593292
1940,11,-0.6262857,-1.6482926
1940,12,2.1802857,1.5185975
1941,1,1.7374285,1.4202439
1941,2,-1.892,0.25957316
1941,3,-2.6411428,-0.39951219
1941,4,1.2102857,0.57567072
1941,5,1.2711428,1.2587195
1941,6,0.39571428,-0.46859755
1941,7,0.44142856,0.22420731
1941,8,0.90828569,-0.095304876
1941,9,1.5137143,-0.4432317
1941,10,3.3931428,-0.096097559
1941,11,-0.28742857,0.95158534
1941,12,1.7588571,1.7129268
1942,1,-0.40228571,0.3309756
1942,2,-1.664,-1.7133536
1942,3,0.45114285,0.35920731
1942,4,0.73371427,1.3465853
1942,5,-0.12628571,-0.62762194
1942,6,0.49914285,-0.46676828
1942,7,0.44371428,0.18439024
1942,8,-0.38114285,0.019634146
1942,9,-0.73542855,-0.51378048
1942,10,0.51571427,0.19481707
1942,11,1.6837142,0.5684756
1942,12,-0.31314285,-0.060609755
1943,1,1.454,-0.46432926
1943,2,1.64,1.2936585
1943,3,-1.6017142,-1.1671341
1943,4,-0.23428571,1.2818292
1943,5,0.92628569,-0.52317072
1943,6,1.9534285,-0.19121951
1943,7,0.81799998,0.29042682
1943,8,1.67,0.63701218
1943,9,-1.338,0.013170731
1943,10,-0.89142855,-0.092134144
1943,11,-1.2671428,-0.22835365
1943,12,-1.0462857,-0.10585366
1944,1,1.4971428,1.3878658
1944,2,2.9068571,-0.2732317
1944,3,-0.047142856,-1.5589634
1944,4,-0.95999998,-1.1425
1944,5,1.3225714,1.0851219
1944,6,1.78,-0.45640243
1944,7,0.082571427,-0.55804877
1944,8,0.24285714,0.11310975
1944,9,0.32771428,0.31993902
1944,10,0.17914285,0.73749998
1944,11,0.41771428,-0.13969512
1944,12,-2.3639999,-1.1235975
